"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","AIREMISSION","CO2","TONNE_CAP","A","2018",7.51,
"ZAF","AIREMISSION","CO2","TONNE_CAP","A","2019",7.53,
"ZAF","AIREMISSION","CO2","TONNE_CAP","A","2020",6.54,
"ZAF","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SDN","AIREMISSION","CO2","TONNE_CAP","A","2017",0.48,
"SDN","AIREMISSION","CO2","TONNE_CAP","A","2018",0.47,
"SDN","AIREMISSION","CO2","TONNE_CAP","A","2019",0.47,
"SDN","AIREMISSION","CO2","TONNE_CAP","A","2020",0.43,
"SDN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TWN","AIREMISSION","CO2","TONNE_CAP","A","2017",11.3,
"TWN","AIREMISSION","CO2","TONNE_CAP","A","2018",11.15,
"TWN","AIREMISSION","CO2","TONNE_CAP","A","2019",10.77,
"TWN","AIREMISSION","CO2","TONNE_CAP","A","2020",10.71,
"TWN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TZA","AIREMISSION","CO2","TONNE_CAP","A","2017",0.18,
"TZA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.18,
"TZA","AIREMISSION","CO2","TONNE_CAP","A","2019",0.21,
"TZA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.2,
"TZA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"THA","AIREMISSION","CO2","TONNE_CAP","A","2017",3.53,
"THA","AIREMISSION","CO2","TONNE_CAP","A","2018",3.48,
"THA","AIREMISSION","CO2","TONNE_CAP","A","2019",3.61,
"THA","AIREMISSION","CO2","TONNE_CAP","A","2020",3.48,
"THA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"UKR","AIREMISSION","CO2","TONNE_CAP","A","2017",3.82,
"UKR","AIREMISSION","CO2","TONNE_CAP","A","2018",4.07,
"UKR","AIREMISSION","CO2","TONNE_CAP","A","2019",3.84,
"UKR","AIREMISSION","CO2","TONNE_CAP","A","2020",3.66,
"UKR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ARE","AIREMISSION","CO2","TONNE_CAP","A","2017",19.39,
"ARE","AIREMISSION","CO2","TONNE_CAP","A","2018",17.24,
"ARE","AIREMISSION","CO2","TONNE_CAP","A","2019",18.21,
"ARE","AIREMISSION","CO2","TONNE_CAP","A","2020",18.28,
"ARE","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"URY","AIREMISSION","CO2","TONNE_CAP","A","2017",1.68,
"URY","AIREMISSION","CO2","TONNE_CAP","A","2018",1.81,
"URY","AIREMISSION","CO2","TONNE_CAP","A","2019",1.88,
"URY","AIREMISSION","CO2","TONNE_CAP","A","2020",1.78,
"URY","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"VNM","AIREMISSION","CO2","TONNE_CAP","A","2017",1.96,
"VNM","AIREMISSION","CO2","TONNE_CAP","A","2018",2.46,
"VNM","AIREMISSION","CO2","TONNE_CAP","A","2019",2.94,
"VNM","AIREMISSION","CO2","TONNE_CAP","A","2020",3.02,
"VNM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ZMB","AIREMISSION","CO2","TONNE_CAP","A","2017",0.35,
"ZMB","AIREMISSION","CO2","TONNE_CAP","A","2018",0.39,
"ZMB","AIREMISSION","CO2","TONNE_CAP","A","2019",0.37,
"ZMB","AIREMISSION","CO2","TONNE_CAP","A","2020",0.36,
"ZMB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"WLD","AIREMISSION","CO2","TONNE_CAP","A","2017",4.38,
"WLD","AIREMISSION","CO2","TONNE_CAP","A","2018",4.44,
"WLD","AIREMISSION","CO2","TONNE_CAP","A","2019",4.38,
"WLD","AIREMISSION","CO2","TONNE_CAP","A","2020",4.08,
"WLD","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SRB","AIREMISSION","CO2","TONNE_CAP","A","2017",6.63,
"SRB","AIREMISSION","CO2","TONNE_CAP","A","2018",6.49,
"SRB","AIREMISSION","CO2","TONNE_CAP","A","2019",6.5,
"SRB","AIREMISSION","CO2","TONNE_CAP","A","2020",6.56,
"SRB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MNE","AIREMISSION","CO2","TONNE_CAP","A","2017",3.65,
"MNE","AIREMISSION","CO2","TONNE_CAP","A","2018",4.02,
"MNE","AIREMISSION","CO2","TONNE_CAP","A","2019",4.18,
"MNE","AIREMISSION","CO2","TONNE_CAP","A","2020",4.07,
"MNE","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"OECD","AIREMISSION","CO2","TONNE_CAP","A","2017",8.67,
"OECD","AIREMISSION","CO2","TONNE_CAP","A","2018",8.64,
"OECD","AIREMISSION","CO2","TONNE_CAP","A","2019",8.31,
"OECD","AIREMISSION","CO2","TONNE_CAP","A","2020",7.52,
"OECD","AIREMISSION","CO2","TONNE_CAP","A","2021",7.91,
"EU28","AIREMISSION","CO2","TONNE_CAP","A","2017",6.29,
"EU28","AIREMISSION","CO2","TONNE_CAP","A","2018",6.13,
"EU28","AIREMISSION","CO2","TONNE_CAP","A","2019",5.82,
"EU28","AIREMISSION","CO2","TONNE_CAP","A","2020",5.23,
"EU28","AIREMISSION","CO2","TONNE_CAP","A","2021",5.98,
"G20","AIREMISSION","CO2","TONNE_CAP","A","2017",5.58,
"G20","AIREMISSION","CO2","TONNE_CAP","A","2018",5.68,
"G20","AIREMISSION","CO2","TONNE_CAP","A","2019",5.6,
"G20","AIREMISSION","CO2","TONNE_CAP","A","2020",5.3,
"G20","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"AGO","AIREMISSION","CO2","TONNE_CAP","A","2017",0.56,
"AGO","AIREMISSION","CO2","TONNE_CAP","A","2018",0.56,
"AGO","AIREMISSION","CO2","TONNE_CAP","A","2019",0.59,
"AGO","AIREMISSION","CO2","TONNE_CAP","A","2020",0.46,
"AGO","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BHR","AIREMISSION","CO2","TONNE_CAP","A","2017",19.92,
"BHR","AIREMISSION","CO2","TONNE_CAP","A","2018",19.22,
"BHR","AIREMISSION","CO2","TONNE_CAP","A","2019",19.86,
"BHR","AIREMISSION","CO2","TONNE_CAP","A","2020",18.87,
"BHR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BEN","AIREMISSION","CO2","TONNE_CAP","A","2017",0.6,
"BEN","AIREMISSION","CO2","TONNE_CAP","A","2018",0.63,
"BEN","AIREMISSION","CO2","TONNE_CAP","A","2019",0.6,
"BEN","AIREMISSION","CO2","TONNE_CAP","A","2020",0.63,
"BEN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BOL","AIREMISSION","CO2","TONNE_CAP","A","2017",1.8,
"BOL","AIREMISSION","CO2","TONNE_CAP","A","2018",1.79,
"BOL","AIREMISSION","CO2","TONNE_CAP","A","2019",1.76,
"BOL","AIREMISSION","CO2","TONNE_CAP","A","2020",1.46,
"BOL","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"BWA","AIREMISSION","CO2","TONNE_CAP","A","2017",3.33,
"BWA","AIREMISSION","CO2","TONNE_CAP","A","2018",3.58,
"BWA","AIREMISSION","CO2","TONNE_CAP","A","2019",3.12,
"BWA","AIREMISSION","CO2","TONNE_CAP","A","2020",2.45,
"BWA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"CMR","AIREMISSION","CO2","TONNE_CAP","A","2017",0.26,
"CMR","AIREMISSION","CO2","TONNE_CAP","A","2018",0.27,
"CMR","AIREMISSION","CO2","TONNE_CAP","A","2019",0.26,
"CMR","AIREMISSION","CO2","TONNE_CAP","A","2020",0.26,
"CMR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"COG","AIREMISSION","CO2","TONNE_CAP","A","2017",0.56,
"COG","AIREMISSION","CO2","TONNE_CAP","A","2018",0.57,
"COG","AIREMISSION","CO2","TONNE_CAP","A","2019",0.66,
"COG","AIREMISSION","CO2","TONNE_CAP","A","2020",0.64,
"COG","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"CRI","AIREMISSION","CO2","TONNE_CAP","A","2017",1.55,
"CRI","AIREMISSION","CO2","TONNE_CAP","A","2018",1.53,
"CRI","AIREMISSION","CO2","TONNE_CAP","A","2019",1.48,
"CRI","AIREMISSION","CO2","TONNE_CAP","A","2020",1.29,
"CRI","AIREMISSION","CO2","TONNE_CAP","A","2021",1.44,
"CIV","AIREMISSION","CO2","TONNE_CAP","A","2017",0.43,
"CIV","AIREMISSION","CO2","TONNE_CAP","A","2018",0.4,
"CIV","AIREMISSION","CO2","TONNE_CAP","A","2019",0.42,
"CIV","AIREMISSION","CO2","TONNE_CAP","A","2020",0.41,
"CIV","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"CUB","AIREMISSION","CO2","TONNE_CAP","A","2017",2.26,
"CUB","AIREMISSION","CO2","TONNE_CAP","A","2018",2.29,
"CUB","AIREMISSION","CO2","TONNE_CAP","A","2019",2.1,
"CUB","AIREMISSION","CO2","TONNE_CAP","A","2020",2.11,
"CUB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PRK","AIREMISSION","CO2","TONNE_CAP","A","2017",2.03,
"PRK","AIREMISSION","CO2","TONNE_CAP","A","2018",1.88,
"PRK","AIREMISSION","CO2","TONNE_CAP","A","2019",2.08,
"PRK","AIREMISSION","CO2","TONNE_CAP","A","2020",1.95,
"PRK","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"COD","AIREMISSION","CO2","TONNE_CAP","A","2017",0.03,
"COD","AIREMISSION","CO2","TONNE_CAP","A","2018",0.03,
"COD","AIREMISSION","CO2","TONNE_CAP","A","2019",0.03,
"COD","AIREMISSION","CO2","TONNE_CAP","A","2020",0.03,
"COD","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"DOM","AIREMISSION","CO2","TONNE_CAP","A","2017",2.05,
"DOM","AIREMISSION","CO2","TONNE_CAP","A","2018",2.19,
"DOM","AIREMISSION","CO2","TONNE_CAP","A","2019",2.2,
"DOM","AIREMISSION","CO2","TONNE_CAP","A","2020",1.93,
"DOM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ECU","AIREMISSION","CO2","TONNE_CAP","A","2017",2.05,
"ECU","AIREMISSION","CO2","TONNE_CAP","A","2018",2.13,
"ECU","AIREMISSION","CO2","TONNE_CAP","A","2019",2.06,
"ECU","AIREMISSION","CO2","TONNE_CAP","A","2020",1.73,
"ECU","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SLV","AIREMISSION","CO2","TONNE_CAP","A","2017",0.94,
"SLV","AIREMISSION","CO2","TONNE_CAP","A","2018",1,
"SLV","AIREMISSION","CO2","TONNE_CAP","A","2019",1.15,
"SLV","AIREMISSION","CO2","TONNE_CAP","A","2020",0.92,
"SLV","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ERI","AIREMISSION","CO2","TONNE_CAP","A","2017",0.15,
"ERI","AIREMISSION","CO2","TONNE_CAP","A","2018",0.17,
"ERI","AIREMISSION","CO2","TONNE_CAP","A","2019",0.17,
"ERI","AIREMISSION","CO2","TONNE_CAP","A","2020",0.17,
"ERI","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"GAB","AIREMISSION","CO2","TONNE_CAP","A","2017",1.22,
"GAB","AIREMISSION","CO2","TONNE_CAP","A","2018",1.16,
"GAB","AIREMISSION","CO2","TONNE_CAP","A","2019",1.13,
"GAB","AIREMISSION","CO2","TONNE_CAP","A","2020",1.13,
"GAB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"GTM","AIREMISSION","CO2","TONNE_CAP","A","2017",0.95,
"GTM","AIREMISSION","CO2","TONNE_CAP","A","2018",1.03,
"GTM","AIREMISSION","CO2","TONNE_CAP","A","2019",1.08,
"GTM","AIREMISSION","CO2","TONNE_CAP","A","2020",0.93,
"GTM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"HND","AIREMISSION","CO2","TONNE_CAP","A","2017",0.9,
"HND","AIREMISSION","CO2","TONNE_CAP","A","2018",0.86,
"HND","AIREMISSION","CO2","TONNE_CAP","A","2019",0.97,
"HND","AIREMISSION","CO2","TONNE_CAP","A","2020",0.83,
"HND","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"IRQ","AIREMISSION","CO2","TONNE_CAP","A","2017",3.16,
"IRQ","AIREMISSION","CO2","TONNE_CAP","A","2018",3.31,
"IRQ","AIREMISSION","CO2","TONNE_CAP","A","2019",3.52,
"IRQ","AIREMISSION","CO2","TONNE_CAP","A","2020",3.03,
"IRQ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"JAM","AIREMISSION","CO2","TONNE_CAP","A","2017",2.35,
"JAM","AIREMISSION","CO2","TONNE_CAP","A","2018",2.82,
"JAM","AIREMISSION","CO2","TONNE_CAP","A","2019",2.73,
"JAM","AIREMISSION","CO2","TONNE_CAP","A","2020",1.84,
"JAM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"JOR","AIREMISSION","CO2","TONNE_CAP","A","2017",2.49,
"JOR","AIREMISSION","CO2","TONNE_CAP","A","2018",2.31,
"JOR","AIREMISSION","CO2","TONNE_CAP","A","2019",2.18,
"JOR","AIREMISSION","CO2","TONNE_CAP","A","2020",1.96,
"JOR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"KEN","AIREMISSION","CO2","TONNE_CAP","A","2017",0.34,
"KEN","AIREMISSION","CO2","TONNE_CAP","A","2018",0.32,
"KEN","AIREMISSION","CO2","TONNE_CAP","A","2019",0.31,
"KEN","AIREMISSION","CO2","TONNE_CAP","A","2020",0.29,
"KEN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"KWT","AIREMISSION","CO2","TONNE_CAP","A","2017",21.61,
"KWT","AIREMISSION","CO2","TONNE_CAP","A","2018",21.71,
"KWT","AIREMISSION","CO2","TONNE_CAP","A","2019",21.6,
"KWT","AIREMISSION","CO2","TONNE_CAP","A","2020",20.96,
"KWT","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"KGZ","AIREMISSION","CO2","TONNE_CAP","A","2017",1.41,
"KGZ","AIREMISSION","CO2","TONNE_CAP","A","2018",1.64,
"KGZ","AIREMISSION","CO2","TONNE_CAP","A","2019",1.41,
"KGZ","AIREMISSION","CO2","TONNE_CAP","A","2020",1.24,
"KGZ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"LBN","AIREMISSION","CO2","TONNE_CAP","A","2017",3.95,
"LBN","AIREMISSION","CO2","TONNE_CAP","A","2018",3.7,
"LBN","AIREMISSION","CO2","TONNE_CAP","A","2019",3.72,
"LBN","AIREMISSION","CO2","TONNE_CAP","A","2020",3.01,
"LBN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"LBY","AIREMISSION","CO2","TONNE_CAP","A","2017",6.66,
"LBY","AIREMISSION","CO2","TONNE_CAP","A","2018",6.68,
"LBY","AIREMISSION","CO2","TONNE_CAP","A","2019",6.61,
"LBY","AIREMISSION","CO2","TONNE_CAP","A","2020",5.7,
"LBY","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MNG","AIREMISSION","CO2","TONNE_CAP","A","2017",6.19,
"MNG","AIREMISSION","CO2","TONNE_CAP","A","2018",6.67,
"MNG","AIREMISSION","CO2","TONNE_CAP","A","2019",7.03,
"MNG","AIREMISSION","CO2","TONNE_CAP","A","2020",6.3,
"MNG","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MAR","AIREMISSION","CO2","TONNE_CAP","A","2017",1.63,
"MAR","AIREMISSION","CO2","TONNE_CAP","A","2018",1.65,
"MAR","AIREMISSION","CO2","TONNE_CAP","A","2019",1.81,
"MAR","AIREMISSION","CO2","TONNE_CAP","A","2020",1.69,
"MAR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MMR","AIREMISSION","CO2","TONNE_CAP","A","2017",0.57,
"MMR","AIREMISSION","CO2","TONNE_CAP","A","2018",0.56,
"MMR","AIREMISSION","CO2","TONNE_CAP","A","2019",0.58,
"MMR","AIREMISSION","CO2","TONNE_CAP","A","2020",0.56,
"MMR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"NAM","AIREMISSION","CO2","TONNE_CAP","A","2017",1.59,
"NAM","AIREMISSION","CO2","TONNE_CAP","A","2018",1.55,
"NAM","AIREMISSION","CO2","TONNE_CAP","A","2019",1.52,
"NAM","AIREMISSION","CO2","TONNE_CAP","A","2020",1.37,
"NAM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"NPL","AIREMISSION","CO2","TONNE_CAP","A","2017",0.37,
"NPL","AIREMISSION","CO2","TONNE_CAP","A","2018",0.42,
"NPL","AIREMISSION","CO2","TONNE_CAP","A","2019",0.35,
"NPL","AIREMISSION","CO2","TONNE_CAP","A","2020",0.42,
"NPL","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"NIC","AIREMISSION","CO2","TONNE_CAP","A","2017",0.8,
"NIC","AIREMISSION","CO2","TONNE_CAP","A","2018",0.74,
"NIC","AIREMISSION","CO2","TONNE_CAP","A","2019",0.75,
"NIC","AIREMISSION","CO2","TONNE_CAP","A","2020",0.66,
"NIC","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"NER","AIREMISSION","CO2","TONNE_CAP","A","2017",0.08,
"NER","AIREMISSION","CO2","TONNE_CAP","A","2018",0.08,
"NER","AIREMISSION","CO2","TONNE_CAP","A","2019",0.09,
"NER","AIREMISSION","CO2","TONNE_CAP","A","2020",0.09,
"NER","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"OMN","AIREMISSION","CO2","TONNE_CAP","A","2017",13.94,
"OMN","AIREMISSION","CO2","TONNE_CAP","A","2018",14.23,
"OMN","AIREMISSION","CO2","TONNE_CAP","A","2019",13.84,
"OMN","AIREMISSION","CO2","TONNE_CAP","A","2020",12.56,
"OMN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"PAN","AIREMISSION","CO2","TONNE_CAP","A","2017",2.29,
"PAN","AIREMISSION","CO2","TONNE_CAP","A","2018",2.22,
"PAN","AIREMISSION","CO2","TONNE_CAP","A","2019",2.96,
"PAN","AIREMISSION","CO2","TONNE_CAP","A","2020",2.15,
"PAN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"QAT","AIREMISSION","CO2","TONNE_CAP","A","2017",30.55,
"QAT","AIREMISSION","CO2","TONNE_CAP","A","2018",29.86,
"QAT","AIREMISSION","CO2","TONNE_CAP","A","2019",30.06,
"QAT","AIREMISSION","CO2","TONNE_CAP","A","2020",29.2,
"QAT","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SEN","AIREMISSION","CO2","TONNE_CAP","A","2017",0.51,
"SEN","AIREMISSION","CO2","TONNE_CAP","A","2018",0.51,
"SEN","AIREMISSION","CO2","TONNE_CAP","A","2019",0.59,
"SEN","AIREMISSION","CO2","TONNE_CAP","A","2020",0.48,
"SEN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"LKA","AIREMISSION","CO2","TONNE_CAP","A","2017",1.03,
"LKA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.95,
"LKA","AIREMISSION","CO2","TONNE_CAP","A","2019",1.03,
"LKA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.95,
"LKA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SYR","AIREMISSION","CO2","TONNE_CAP","A","2017",1.35,
"SYR","AIREMISSION","CO2","TONNE_CAP","A","2018",1.56,
"SYR","AIREMISSION","CO2","TONNE_CAP","A","2019",1.42,
"SYR","AIREMISSION","CO2","TONNE_CAP","A","2020",1.28,
"SYR","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TJK","AIREMISSION","CO2","TONNE_CAP","A","2017",0.59,
"TJK","AIREMISSION","CO2","TONNE_CAP","A","2018",0.68,
"TJK","AIREMISSION","CO2","TONNE_CAP","A","2019",0.74,
"TJK","AIREMISSION","CO2","TONNE_CAP","A","2020",0.76,
"TJK","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TGO","AIREMISSION","CO2","TONNE_CAP","A","2017",0.16,
"TGO","AIREMISSION","CO2","TONNE_CAP","A","2018",0.18,
"TGO","AIREMISSION","CO2","TONNE_CAP","A","2019",0.19,
"TGO","AIREMISSION","CO2","TONNE_CAP","A","2020",0.19,
"TGO","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TTO","AIREMISSION","CO2","TONNE_CAP","A","2017",12.72,
"TTO","AIREMISSION","CO2","TONNE_CAP","A","2018",12.35,
"TTO","AIREMISSION","CO2","TONNE_CAP","A","2019",11.9,
"TTO","AIREMISSION","CO2","TONNE_CAP","A","2020",10.61,
"TTO","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TUN","AIREMISSION","CO2","TONNE_CAP","A","2017",2.29,
"TUN","AIREMISSION","CO2","TONNE_CAP","A","2018",2.26,
"TUN","AIREMISSION","CO2","TONNE_CAP","A","2019",2.25,
"TUN","AIREMISSION","CO2","TONNE_CAP","A","2020",2.13,
"TUN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"TKM","AIREMISSION","CO2","TONNE_CAP","A","2017",10.38,
"TKM","AIREMISSION","CO2","TONNE_CAP","A","2018",10.22,
"TKM","AIREMISSION","CO2","TONNE_CAP","A","2019",10.12,
"TKM","AIREMISSION","CO2","TONNE_CAP","A","2020",9.98,
"TKM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"UZB","AIREMISSION","CO2","TONNE_CAP","A","2017",3.23,
"UZB","AIREMISSION","CO2","TONNE_CAP","A","2018",3.26,
"UZB","AIREMISSION","CO2","TONNE_CAP","A","2019",3.33,
"UZB","AIREMISSION","CO2","TONNE_CAP","A","2020",3.2,
"UZB","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"VEN","AIREMISSION","CO2","TONNE_CAP","A","2017",4.2,
"VEN","AIREMISSION","CO2","TONNE_CAP","A","2018",3.9,
"VEN","AIREMISSION","CO2","TONNE_CAP","A","2019",3.07,
"VEN","AIREMISSION","CO2","TONNE_CAP","A","2020",1.91,
"VEN","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"YEM","AIREMISSION","CO2","TONNE_CAP","A","2017",0.3,
"YEM","AIREMISSION","CO2","TONNE_CAP","A","2018",0.35,
"YEM","AIREMISSION","CO2","TONNE_CAP","A","2019",0.33,
"YEM","AIREMISSION","CO2","TONNE_CAP","A","2020",0.29,
"YEM","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"ZWE","AIREMISSION","CO2","TONNE_CAP","A","2017",0.65,
"ZWE","AIREMISSION","CO2","TONNE_CAP","A","2018",0.73,
"ZWE","AIREMISSION","CO2","TONNE_CAP","A","2019",0.66,
"ZWE","AIREMISSION","CO2","TONNE_CAP","A","2020",0.53,
"ZWE","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"LAO","AIREMISSION","CO2","TONNE_CAP","A","2017",2.52,
"LAO","AIREMISSION","CO2","TONNE_CAP","A","2018",2.53,
"LAO","AIREMISSION","CO2","TONNE_CAP","A","2019",2.4,
"LAO","AIREMISSION","CO2","TONNE_CAP","A","2020",2.31,
"LAO","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"EU27_2020","AIREMISSION","CO2","TONNE_CAP","A","2017",6.41,
"EU27_2020","AIREMISSION","CO2","TONNE_CAP","A","2018",6.25,
"EU27_2020","AIREMISSION","CO2","TONNE_CAP","A","2019",5.93,
"EU27_2020","AIREMISSION","CO2","TONNE_CAP","A","2020",5.34,
"EU27_2020","AIREMISSION","CO2","TONNE_CAP","A","2021",6.15,
"GNQ","AIREMISSION","CO2","TONNE_CAP","A","2017",3.82,
"GNQ","AIREMISSION","CO2","TONNE_CAP","A","2018",3.45,
"GNQ","AIREMISSION","CO2","TONNE_CAP","A","2019",3.19,
"GNQ","AIREMISSION","CO2","TONNE_CAP","A","2020",2.71,
"GNQ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"MDG","AIREMISSION","CO2","TONNE_CAP","A","2017",0.13,
"MDG","AIREMISSION","CO2","TONNE_CAP","A","2018",0.12,
"MDG","AIREMISSION","CO2","TONNE_CAP","A","2019",0.14,
"MDG","AIREMISSION","CO2","TONNE_CAP","A","2020",0.1,
"MDG","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"RWA","AIREMISSION","CO2","TONNE_CAP","A","2017",0.09,
"RWA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.1,
"RWA","AIREMISSION","CO2","TONNE_CAP","A","2019",0.1,
"RWA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.1,
"RWA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"SWZ","AIREMISSION","CO2","TONNE_CAP","A","2017",0.98,
"SWZ","AIREMISSION","CO2","TONNE_CAP","A","2018",0.97,
"SWZ","AIREMISSION","CO2","TONNE_CAP","A","2019",1.02,
"SWZ","AIREMISSION","CO2","TONNE_CAP","A","2020",0.99,
"SWZ","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
"UGA","AIREMISSION","CO2","TONNE_CAP","A","2017",0.12,
"UGA","AIREMISSION","CO2","TONNE_CAP","A","2018",0.13,
"UGA","AIREMISSION","CO2","TONNE_CAP","A","2019",0.12,
"UGA","AIREMISSION","CO2","TONNE_CAP","A","2020",0.11,
"UGA","AIREMISSION","CO2","TONNE_CAP","A","2021",,"L"
